ID,Severity,Form,Prod state,Location,What's missing,Expected behaviour,User impact,Status,Blocks launch,First found,Last updated
FA-33,High,All forms (shared),Shared,".env.example:1-9 (header), :36-46 (Turnstile), :48-56 (rate-limit store), :58-94 (Stripe + GHL)","Eight environment variables the code requires are absent from .env.example: STRIPE_SECRET_KEY, STRIPE_WEBHOOK_SECRET, NEXT_PUBLIC_STRIPE_PUBLISHABLE_KEY, GHL_API_KEY, GHL_LOCATION_ID, GHL_CALENDAR_ID, TURNSTILE_SECRET_KEY and NEXT_PUBLIC_TURNSTILE_SITE_KEY","Applied 2026-08-13: all eight are documented in .env.example, grouped into a Turnstile block and a ""Booking + payments (FB-01)"" block, plus the optional E2E_BASE_URL. Each entry says which subsystem breaks without it, which values are public by design versus Sensitive, and that the sets must be configured together. Both fail-open behaviours are called out where someone setting up a deploy will actually read them — FA-34 under Turnstile (""do not treat 'the forms still work' as evidence it is on"") and FA-35 under GHL. The STRIPE_WEBHOOK_SECRET note records that the value differs between local and production and that a mismatch 400s every delivery, so payments succeed and nothing is ever confirmed, and lists the three events the endpoint must subscribe to. The file header was rewritten to explain that NEXT_PUBLIC_ means inlined at build time and needing a redeploy. Verified by diffing every process.env reference in app/lib/components/scripts/config against the file: 27 used, 27 documented, no drift either way, and NEXT_PUBLIC_ appears on only the three genuinely public keys. Count rose from 23 after rebasing onto commit 4cb2913, which added the rate-limit store vars; that commit documented Turnstile independently, so the two Turnstile blocks were reconciled into one and its KV_REST_API_URL / KV_REST_API_TOKEN fallbacks — named only in prose there — were added as commented keys","Closed. Anyone configuring a deploy from .env.example now has every variable the code reads, with the quiet failure modes named. The underlying fail-open behaviours themselves are NOT fixed by this row — FA-34 and FA-35 remain open; this makes them documented rather than invisible",Applied,No,2026-08-13,2026-08-13
FA-34,High,All email forms (shared),Live,app/api/contact/route.ts verifyTurnstile + the POST handler; .env.example,"Turnstile fails OPEN when the key is absent. verifyTurnstile() returns true immediately if TURNSTILE_SECRET_KEY is unset, and TURNSTILE_ENABLED is false if NEXT_PUBLIC_TURNSTILE_SITE_KEY is unset, so with neither set the CAPTCHA silently does not exist while all four forms still submit successfully","APPLIED 2026-08-15, failing closed rather than asserting at startup. verifyTurnstile now returns a three-state result — ok / failed / misconfigured — instead of a boolean, so ""the visitor failed the check"" and ""this deploy cannot run the check"" are no longer the same answer. With TURNSTILE_SECRET_KEY unset the skip depends on NODE_ENV: local dev and previews stay walkable, production refuses every submission with a 503 and a console.error naming both variables and the redeploy requirement. The 503 is deliberate over a 403 — the visitor did nothing wrong and there is no widget for them to complete (the public key is almost certainly missing too), so the message routes them to the phone and the support address instead of a dead end. Same shape as the FA-35 fix: a fallback that is genuinely useful in dev must depend on the ENVIRONMENT, never on whether someone remembered a variable. VERIFIED against a real production build on 2026-08-15, all three paths: secret unset -> 503 + the log line; secret set with no token -> 403; honeypot -> 200 fake success, still ahead of Turnstile so no mail is sent. .env.example rewritten — it documented the fail-open behaviour as a standing warning, which is now the opposite of what ships","The route's own comment documents this, and the fail-closed choice for network errors (:79-81) shows the trade was considered. The gap is that the absent-key case is invisible: there is no error, no log line and no UI difference, so the launch security gate can be signed off on a deploy that has no CAPTCHA at all. Compounded by FA-33, which makes the key easy to miss",Applied,No,2026-08-13,2026-08-15
FA-35,Medium,Booking wizard,Live,app/installation/page.tsx:169; :221-223; app/api/booking/slots/route.ts:17-21,"Availability fails open. When /api/booking/slots answers not_configured, useCalendarGrid switches to fallback mode and renders every future weekday as bookable with the nine hardcoded SLOTS — fabricated availability presented identically to real availability","APPLIED 2026-08-15. useAvailability only degrades to the walkable dev fallback when NODE_ENV !== production; in production not_configured is an error like any other, so the existing ""we could not load available dates, call 1800 818 288"" branch shows instead of fabricated weekdays. The fallback is now gated on the environment rather than on the server answer, which is what made a keyless production deploy sell invented time slots","If the GHL variables are ever missing or misnamed in the deploy (see FA-33), the wizard shows a full month of invented dates and times. The customer picks one, fills in step 4, and only then hits a 503 at step 5 — after investing the whole flow. The code comment already says this must never be the production path; nothing enforces that",Applied,No,2026-08-13,2026-08-15
FA-36,Medium,Booking wizard,Live,public/installation/we-accept.svg; app/installation/page.tsx (We Accept strip); lib/stripe.ts createBookingSession,"The ""We Accept"" strip under the wizard advertises American Express, Mastercard, Visa, Apple Pay, PayPal, Shop Pay and UnionPay, but createBookingSession sets no payment_method_types — the methods actually offered are whatever is enabled on the Stripe account, which no code here asserts. Shop Pay is a Shopify product and is not a Stripe payment method at all","APPLIED 2026-08-15, and the dashboard was actually queried rather than assumed. The test-mode account had apple_pay, bancontact, blik, card, eps, klarna, link, mb_way, pix, satispay and zip enabled — a Belgian, Polish, Austrian, Portuguese and Brazilian set on an Australian mobile-installation booking, none of it asserted anywhere in the codebase. createBookingSession now pins payment_method_types: [""card""], which also carries Apple Pay and Google Pay (they are wallet presentations of a card, not separate entries), so the artwork can still promise Apple Pay honestly. PayPal, Shop Pay and UnionPay were removed from we-accept.svg and its alt text; they were the last three tiles, so the remaining logos needed no repositioning and the canvas shrank 432 -> 301 with the original right padding preserved. File halved, 66 KB -> 33 KB. scripts/e2e-booking.mjs asserts payment_method_types on the REAL retrieved session, so the promise and the checkout cannot drift again silently. DELIBERATE EXCLUSION worth revisiting: Klarna, Zip and Link were dropped rather than overlooked — offering BNPL on a $250 service is a business decision, not a Stripe default to inherit. Adding any method means updating the SVG and its alt text in the same commit. CAVEAT: the enabled-methods list above came from the TEST-mode account. Live mode has its own payment method configuration and should be checked when the live keys are set — though the pin makes the checkout behave the same either way | APPLE PAY, 2026-08-17: the strip promises it and it does NOT work yet. Embedded Checkout renders on our own domain, so Apple Pay requires that domain to be registered with Stripe — hosted Checkout gets it free, embedded does not. docs/fb-01-booking-payment-flow.md:22 flagged this when embedded mode was chosen (""the cost is a domain-registration step before Apple Pay works"") and it was never done. Done so far: Stripe's association file is committed at public/.well-known/apple-developer-merchantid-domain-association (verified byte-identical to Stripe's copy and confirmed served by Next), and www.finevuaustralia.com.au is registered in TEST mode (apwc_1U5G3jFGpgeF9nUF9R2Zd4Ky, livemode:false — test mode does not verify the file, which is why it succeeded while the path still 404s live). STAGING, 2026-08-17: finevu-dashcam-staging.vercel.app is also registered in test mode (apwc_1U5GHOFGpgeF9nUFOWzoOVZG) and confirmed publicly reachable — no Vercel Deployment Protection in front of it, which would have blocked Apple and Stripe from fetching the file with no useful error. It becomes testable as soon as this branch deploys there. REMAINING, both needed before the tile is true in PRODUCTION: (1) deploy, so the file actually serves at https://www.finevuaustralia.com.au/.well-known/... — note the apex 308-redirects to www, so www is the domain to register, not the apex; (2) register it again in LIVE mode with the live key, which DOES verify the file. ALSO FOUND: the Stripe account reports charges_enabled:false with empty capabilities — it is not fully activated, so live keys will not take money until that is done. Independent of Apple Pay and not previously recorded anywhere","A customer who chose FineVu because the page showed PayPal or Apple Pay reaches step 5 and finds only the methods the dashboard happens to enable. Also a content-accuracy exposure on a Live MVP page: the claim is baked into an SVG, so correcting it means replacing the asset",Applied,No,2026-08-13,2026-08-17
FA-37,Medium,"Registration, Warranty claim",Gated,app/register/page.tsx:145-156; app/warranty-claim/page.tsx:293-305,"A FileReader failure silently drops the attachment. Both forms wrap readFileAsBase64 in try/catch and set attachment = undefined on error, then submit anyway — while the fields still report the filename (receipt: file.name), so the email asserts a receipt that is not attached","APPLIED 2026-08-15 alongside FA-02, since both live on the same read path. A FileReader failure now ABORTS the submission on BOTH forms and tells the customer to re-select the file, instead of setting attachment = undefined and submitting anyway while the fields still reported `receipt: <filename>` — which put support in exactly the state FA-03 was raised to fix, holding a claim or registration that names a receipt nobody attached, with the customer on a success screen. /warranty-claim reads the receipt and its evidence inside one try, so any failure stops the whole submission. AMENDED 2026-08-21: since ab99360 only the EMAIL SUBSET is read on that path — the receipt plus the evidence files that fit the email caps — because the full set is uploaded to R2 as File objects and never base64-encoded. The abort behaviour is unchanged and still covers every file the email carries; a file excluded from the email by the caps was never read here, so it cannot be silently dropped by a read failure","Same end state FA-03 was raised to fix — support receives a claim or registration naming a receipt that is not attached, and the customer gets a success screen. FA-03 closed the size path and the server path; this is the remaining client-side path. Rare (FileReader failure needs an unreadable or removed file) but silent, and on /warranty-claim the receipt is a required field",Applied,No,2026-08-13,2026-08-21
FA-38,Low,Booking wizard,Live,lib/data/thank-you.ts:64-67; app/installation/page.tsx:296; app/api/contact/route.ts:24; CLAUDE.md open item 1,"Stale documentation left behind by the FB-01 build. The thankYouVariants.installation variant is now orphaned — the wizard no longer imports thankYouUrl — and its comment still says the wizard ""submits nothing and takes no payment (CA-36, awaiting ops)"". Same drift at installation:296 (""no other destination until the wizard actually submits""), route.ts:24 (""Until Turnstile lands"", which it has, 46 lines below) and CLAUDE.md open item 1, which still opens by saying the checkout charges nothing","APPLIED 2026-08-15. The orphaned thankYouVariants.installation entry is deleted, so /thank-you/installation now 404s rather than serving ""Booking request sent"" to a customer who just paid $250 — the wizard renders its own step 6 from server state and never navigates there. The installation:296 and contact route.ts:43 comments are rewritten to describe what ships, and CLAUDE.md open item 1 is replaced: it claimed the checkout charges nothing and fakes the reference, untrue since 2026-08-10","No user-visible defect — this is reviewer-facing. It matters because CLAUDE.md open item 1 is the first thing anyone reads before a launch decision, and it currently describes a fake checkout that was replaced three days ago, while the real open risks at that step are FA-26 and FA-32",Applied,No,2026-08-13,2026-08-15
FA-39,Low,Booking wizard,Live,app/installation/page.tsx:299; :307,"Step 6 states the amount twice — confirmRows() builds on summaryRows(), which already appends [""Total"", ""$250.00 AUD — paid today""], then pushes [""Payment"", ""$250.00 AUD · Paid""]","APPLIED 2026-08-15. confirmRows() now filters the pre-payment Total row out of summaryRows() instead of appending the Payment row beside it, so step 6 states $250 once","Cosmetic duplication on the confirmation screen, with two different phrasings of the same fact on adjacent lines",Applied,No,2026-08-13,2026-08-15
FA-40,High,Booking wizard,Live,"app/installation/page.tsx:245-246 (validate step 2); app/api/booking/create/route.ts:94; lib/data/installation-coverage.ts (resolveCoverage, COVERAGE_MESSAGES.notServiced)","A customer in an UNSERVICED postcode can complete the booking and pay $250, and if the install then cannot be delivered the refund does not release the appointment. isExcluded() blocks the Northern Territory only — every other postcode falls through to setHint() + return true, so the coverage answer is a warning rather than a gate, client-side and server-side alike. The copy they proceed past promises ""you can still submit your booking and we'll confirm availability within one business day"", which commits us to a refund when the answer is no. FA-32 then means that refund leaves the GHL appointment confirmed","An ops decision on which of three routes to take, not an edit we can make: (a) leave it non-blocking and accept manual refunds — viable ONLY once FA-32 is fixed, so a refund actually releases the slot; (b) hard-block unserviced postcodes the way NT is blocked, which is safest but closes a revenue path in areas an installer might in fact cover; or (c) take the booking WITHOUT payment outside the serviced list, confirm coverage, then send a payment link — best for the customer, most to build. Fixing FA-32 is a prerequisite for (a) and worth doing regardless","1,229 of the 2,765 postcodes in the dataset are unserviced, so this path will fire for real customers rather than being theoretical. Each occurrence takes $250 we may have to give back, and because of FA-32 the refunded booking stays confirmed on the installers' calendar — an installer is dispatched to someone who is no longer a customer, and the slot stays blocked against real demand. Raised 2026-08-14 once the coverage dataset became trustworthy (CA-78 resolved); while the flags were unreliable the same path existed but its trigger rate was unknowable. Neither FA-23 nor FA-32 captures the combination — each describes one half",Needs approval,Yes,2026-08-14,2026-08-14
FA-41,High,Booking wizard,Live,app/api/stripe/webhook/route.ts (completed + charge.refunded branches); lib/ghl.ts ghlFetch / getAppointment / releaseHold,"The webhook read the appointment with getAppointment(id).catch(() => null), which cannot tell ""GHL answered, and it is not there"" from ""GHL did not answer"". A timeout, a 500 or an expired token was therefore read as a deleted hold: the handler logged PAID BUT THE HOLD IS GONE and returned 200, so Stripe never retried a session the customer had already paid for and the booking was never confirmed. The status was also only available inside the error message string, which releaseHold() recovered with String(err).includes("" 404"")","APPLIED 2026-08-17. ghlFetch now throws a typed GhlError carrying .status, and a new findAppointment() returns null ONLY on a real 404/400 while anything else propagates. Both webhook branches use it, so a transient GHL failure reaches the outer catch, 500s, and lets Stripe deliver again — which is the whole point of the three-day retry window. releaseHold() discriminates on .status instead of substring-matching the message, so it can no longer be fooled by an error whose body happens to contain ""404"". /api/booking/status deliberately KEEPS the bare catch and now says why: it is a read for display, so failing soft leaves step 6 saying ""we are confirming"", which stays true, whereas the same shape in the webhook discarded a paid booking.","A paid booking silently never confirmed, with the slot left merely held and the only trace a log line — and the ops alerting for exactly this case was never built (see fb-01 What is NOT built). Narrower than FA-32 in frequency but identical in consequence: money taken, nothing booked",Applied,No,2026-08-17,2026-08-17
FA-42,Medium,Installation booking (step 5 checkout),Live,lib/email/bookingConfirmation.ts:172 (single `to`); app/api/stripe/webhook/route.ts:80 (the only send on the confirm path),"No internal notification. A paid booking emails the CUSTOMER only — `to` is `redirectTo || input.email`, with no CC/BCC and no second send — so nobody at AutoXtreme is emailed when an installation is booked and paid for.","Decide the channel, then make it explicit. Recommended: leave it to GHL's own new-appointment notification on the Installation Booking calendar, which also covers bookings taken by phone or entered by hand in the GHL UI — cases the Stripe webhook never sees, so it is strictly broader than a BCC here. If instead an emailed ops copy is wanted, send it to CONTACT_TO_EMAIL alongside the customer's, not as a BCC on the customer's message (a BCC leaks the customer-facing no-reply framing into an internal alert and gives ops no distinct subject to filter on).","No customer-visible impact and nothing is lost: the booking is a confirmed GHL appointment and a Stripe payment. The exposure is operational and one of EXPECTATION — every other form on the site emails the support inbox and the customer gets the auto-reply, so this form inverts the pattern. Anyone assuming bookings arrive in the inbox the way submissions do will not see them, and the failure mode is a paid customer arriving for an install nobody actioned. Untracked until now in both FA and FB. Whether it is already covered depends on GHL notification settings, which are outside this repo and unverified — that check is the actual next step, not a code change. Related: FB-01",Needs approval,No,2026-08-17,2026-08-17
FA-43,Medium,Installation booking — step 2 street address (components/AddressAutocomplete.tsx),Live,components/AddressAutocomplete.tsx — debounce effect keyed on `value` (was :221) vs handleSelect's onChange (was :258),"Choosing a suggestion did not settle the field: the dropdown closed and then reopened ~250ms later, listing the address just selected.",Picking a suggestion should close the dropdown and leave it closed until the customer types again.,"A feedback loop, not show/hide logic. handleSelect writes the address back through onChange, which changes `value`, which re-runs the debounce effect, which refetches suggestions FOR THE ADDRESS JUST PICKED and reopens the list. Clearing `suggestions` in handleSelect could not help — the refetch repopulated it. Customer-visible as a field that will not settle, on step 2 of a flow that ends in a $250 payment, and it also spent a Places API call per selection. FIXED 2026-08-17 (commit 570007c) with a ref flag set before onChange and consumed by the effect. Two parts are load-bearing and should not be 'simplified': the skip branch still CLEARS the pending timer (the keystroke before the click had already scheduled one, and letting it fire reopens the dropdown just the same), and typing always RESETS the flag (a selection whose text matches what was already typed leaves `value` unchanged, so the effect never runs to consume the flag and it would swallow the next keystroke instead). Not verified in a browser at time of writing — the Places API makes this staging-only. Found by the user on staging, not by an audit.",Applied,No,2026-08-17,2026-08-18
FA-44,Medium,All forms (shared),Mixed,app/contact/page.tsx:111; app/register/page.tsx:133; app/warranty-claim/page.tsx:269; app/become-a-retailer/page.tsx:186; lib/formHelpers.ts,"On a failed submit, focus stays on the submit button while the per-field error messages render further up the form, so a keyboard or screen-reader user is given no route to the problem","APPLIED 2026-08-18 across all four forms. focusFirstInvalid() in lib/formHelpers.ts moves focus to the first invalid field on a failed submit, driven by a per-form FOCUS_ORDER listing field keys against input ids in VISUAL order — wrong order and focus jumps around the form. This is the other half of FA-19 rather than a separate nicety: every field already linked its message with aria-describedby, and moving focus is what makes that link audible. On /warranty-claim the receipt target is the UploadZone div (new optional `id` prop, receipt-zone) because the real <input type=file> is hidden and cannot take focus.","The per-field errors added for FA-08 and FA-19 are rendered but unreachable without hunting — nine fields on /become-a-retailer, eleven on /warranty-claim. The form appears to have done nothing",Applied,No,2026-08-18,2026-08-21
FA-45,Low,"Retailer application, Contact, Registration, Warranty claim",Mixed,app/contact/page.tsx:104 (optional); app/register/page.tsx:126 (optional); app/warranty-claim/page.tsx:259 (required); app/become-a-retailer/page.tsx:181; lib/formHelpers.ts,"Phone validation is `!value.trim()`, so a single character passes — on the field a wholesale account or a warranty claim is followed up on","APPLIED 2026-08-18 across all four forms via isPhone() in lib/formHelpers.ts — at least 8 digits, ignoring +61, spaces, dashes and brackets, so AU mobile and landline formats pass and so do overseas numbers (/become-a-retailer invites online retailers; /contact is general enquiry). Applied two ways depending on the field: REQUIRED on /warranty-claim and /become-a-retailer, where it replaces `!value.trim()` outright; VALIDATE-WHEN-FILLED on /contact and /register, where phone is optional — blank stays valid, junk does not. The two optional fields gained the aria-invalid/aria-describedby wiring and an error message they previously had no need for.","A mistyped or junk phone number is accepted silently. On a trade application or a warranty claim the phone number is the follow-up path, and the submitter gets a success screen either way",Applied,No,2026-08-18,2026-08-21
FA-46,High,"Warranty claim, Registration",Gated,"app/warranty-claim/page.tsx:310-316 (evidenceSummary), :332-347 (Promise.all); lib/persistSubmission.ts:27, :53-80; app/api/uploads/sign/route.ts:45-52","The email asserts storage that may not exist. /warranty-claim composes evidenceSummary from evidence.length BEFORE persistence runs — ""N file(s) stored with the claim; M attached here"" — and persistSubmission() is best-effort and never throws, so when the R2 half fails the email still tells support the files are on record and there is nothing in it that says otherwise","Either make the claim conditional on the persist result, or drop the storage assertion from the email. Today the two run in one Promise.all and the string is built before either resolves, so the email cannot reflect what actually happened. THREE independent silent routes to it, all verified in the code on 2026-08-21: (a) R2 not configured — /api/uploads/sign 503s and persistSubmission.ts:27 (`if (!signRes.ok) return null`) discards it; (b) the bucket CORS policy does not cover the origin — the browser PUT rejects and the throw is swallowed by the outer catch; (c) the sign route's rate limit fires — a 429 hits the SAME `!signRes.ok` line and is discarded exactly like any other failure, so a customer adding a 21st file inside ten minutes gets a success screen while nothing is stored. It does NOT reproduce while R2 is correctly configured, which is why it is invisible on localhost since the bucket was provisioned and LIVE on staging and production, where the R2_UPLOADS_* vars are still unset (FB-04 / FB-05). Cheapest honest fix: await persistSubmission's outcome and word the field from it, or say only what the email itself carries and let the R2 record speak for itself","Support assesses or closes a warranty claim believing the customer's evidence is on file; the customer, who saw a success screen, believes the same. The failure is silent on both sides, and it lands on the one form where the evidence IS the claim. Worse than the pre-ab99360 state, which promised nothing",Pending,Yes,2026-08-21,2026-08-21
FA-47,Medium,"Registration, Warranty claim",Gated,"app/register/page.tsx:128, :257; app/warranty-claim/page.tsx:261, :429; lib/formHelpers.ts:30-58","The purchase date accepted any date, including one in the future. Both forms checked only that the field was non-empty and neither input carried a max, so 2099-01-01 submitted cleanly","APPLIED 2026-08-21 (ddf4a92). lib/formHelpers.ts now exports todayIso() and isFutureOrEmptyDate(); both forms pass max={todayIso()} on the date input AND run the validator in submit(). Both halves are needed — the forms are noValidate, so the browser never consults max on submit and a typed-in date would still sail through, which is worse than no constraint because it looks enforced. todayIso() is built from LOCAL date parts rather than toISOString(), which converts to UTC first and would reject a same-day purchase for the first ten hours of every AEST day, and it is called during render rather than held as a module constant so a tab left open overnight does not keep enforcing yesterday's ceiling. The error message now distinguishes an empty date from a future one. No LOWER bound, deliberately: the product's AU launch date is unsourced and guessing one would bake an unverified claim into validation. Unit-verified 6/6","The purchase date is what decides whether the warranty period has started (lib/data/warranty.ts), so a future one makes a claim un-assessable and support has to go back to the customer for it. A mis-keyed year was accepted in silence on both forms",Applied,No,2026-08-21,2026-08-21
FA-48,High,"Registration, Warranty claim (shared backend)",Gated,"app/api/persist/route.ts:44-58, :96-108; app/api/uploads/sign/route.ts:45-52; lib/rateLimit.ts","/api/persist is an unauthenticated CRM write endpoint. No Turnstile, no honeypot, no origin or CSRF check; the only control is an in-memory per-IP rate limit, which on Vercel is per lambda instance. Any caller can create or update a GHL contact and attach an arbitrary note, and `fields` is not key-allowlisted — everything outside a six-key skip set is prettified straight into the note","PARTIAL 2026-08-24: the in-memory per-IP limit on /api/persist AND /api/uploads/sign is now the shared DURABLE Upstash limiter (isRateLimited in lib/rateLimit.ts, extracted from /api/contact), so the cap holds across instances — that closes the ""File upload cap"" card and the durable-limiter option below. STILL OPEN: no Turnstile/honeypot/Origin check on /api/persist, and fields are still not key-allowlisted. Bring it to the /api/contact bar, or accept the exposure explicitly and record the decision. /api/contact sits behind a server honeypot, Turnstile, a durable Upstash-backed rate limit and field caps; /api/persist has none of them. /api/uploads/sign has none either, but it STATES its reasoning — the form carries one single-use Turnstile token and it is spent on the email submission — and it only ever writes to a private, lifecycle-purged bucket. /api/persist inherits that posture without the justification, and its blast radius is different: it writes the CRM. The arbitrary-keys half is the same gap FA-05 records for /api/contact, and the one FB-06 deliberately closed for the retailer webhook by naming its nine forwarded fields. Options, cheapest first: an Origin/Referer check; a server-issued one-time token minted by /api/uploads/sign and required by /api/persist; the durable Upstash limiter /api/contact already uses; a per-form field-name allowlist. Settle it before the R2_UPLOADS_* vars go into production — until they are set the route no-ops, so the exposure arrives with the provisioning","The CRM is the record of registrations and warranty claims and is what claim handling runs on. A scripted caller can fill it with fabricated contacts, notes and tags, and the rate limit meant to stop that does not hold across instances. Nothing is READ — the route only writes — so this is pollution and quota burn rather than disclosure",Pending,No,2026-08-21,2026-08-24
FA-49,High,"Registration, Warranty claim (shared backend)",Gated,lib/r2.ts:130-155 (presignUpload); app/api/uploads/sign/route.ts:74-95,"The presigned PUT URL carried no size constraint, so every file-size cap on the upload path was advisory. /api/uploads/sign validated a `size` the CLIENT supplied in the request body, then signed a URL binding only the key and Content-Type — a caller could declare 1 byte and PUT an object of any size, 20 URLs per request, for the URL's whole 10-minute TTL, from a public unauthenticated endpoint","APPLIED 2026-08-21 (b4326c7). presignUpload() now takes a contentLength, sets ContentLength on the PutObjectCommand, and passes signableHeaders: new Set([""content-length""]) — that last part is load-bearing, because getSignedUrl hoists an unrecognised header into the query string unless it is named there, which would silently restore the unbounded behaviour. The sign route carries the same validated `size` straight through to the signer and never re-reads it from the request. R2 itself now rejects any PUT whose Content-Length differs from the declared size, so the declaration is binding rather than advisory; browsers set Content-Length from the real File, so honest uploads are unaffected and a lying client is refused before a byte is stored. VERIFIED against the live bucket: declare 1024 / upload 1024 → 200; declare 1024 / upload 5 MB → 403 SignatureDoesNotMatch","Storage-fill abuse against a public endpoint, and not merely transient: /api/persist promotes pending/ objects into claims/ or registrations/, which the purge-pending lifecycle rule never sweeps, so an oversized upload could be made permanent and billed. The caps the UI shows the customer would also have meant nothing",Applied,No,2026-08-21,2026-08-21
